Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
          54.66,54.66257213,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
         154.95,154.9489876,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
          48.06,48.06106531,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
          35.34,35.33748593,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
          43.92,43.91934535,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
          84.77,84.77103244,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
          53.07,53.07493337,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
          75.02,75.02136393,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
         159.42,159.4199674,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
          96.81,96.80956452,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
          36.71,36.70690165,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
          38.35,38.35461128,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
          32.75,32.7492348,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
          30.79,30.78572962,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
         146.52,146.5225717,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
          26.99,26.98975586,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
          44.04,44.04294504,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0.00,0,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
           0.13,0.132558052,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
          55.48,55.48017487,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
         150.42,150.4233052,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
          36.00,36.0036791,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
          79.40,79.40198948,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
          43.80,43.8043453,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
         206.88,206.883262,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
          48.36,48.35970747,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
          78.03,78.03131205,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,"Other endocrine, nutritional and metabolic problems",6,6,4,LHB and PHW total,Tot,5,,Total
         174.82,174.8210922,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,General mental illness,8,8,7,LHB and PHW total,Tot,5,,Total
          74.89,74.88803102,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Elderly mental illness,9,9,7,LHB and PHW total,Tot,5,,Total
          27.49,27.492327,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Child & adolescent mental health services,10,10,7,LHB and PHW total,Tot,5,,Total
          58.58,58.5793911,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Other mental health problems,11,11,7,LHB and PHW total,Tot,5,,Total
          32.56,32.56490051,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Coronary Heart Disease,17,17,16,LHB and PHW total,Tot,5,,Total
          19.32,19.32180738,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Cerebrovascular disease,18,18,16,LHB and PHW total,Tot,5,,Total
         115.97,115.9708921,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Other problems of circulation,19,19,16,LHB and PHW total,Tot,5,,Total
          19.21,19.20998246,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Genital tract problems,27,27,26,LHB and PHW total,Tot,5,,Total
          34.42,34.41624827,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0.00,0,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
           6.07,6.067199856,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
          57.50,57.50084529,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
         182.87,182.8707956,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
          25.84,25.83809594,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
          62.21,62.21309494,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
          42.54,42.5441409,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
         153.88,153.8797429,Expenditure per head,2,2,,Cardiff and Vale University Health Board,7A4,9,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
