Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
         391.83,391.8255417,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Mental health problems,7,7,999,LHB and PHW total,Tot,5,,Total
          34.00,34.00476965,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Learning disability problems,12,12,999,LHB and PHW total,Tot,5,,Total
         138.67,138.6659864,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Neurological system problems,13,13,999,LHB and PHW total,Tot,5,,Total
          84.27,84.27293494,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Eye/vision problems,14,14,999,LHB and PHW total,Tot,5,,Total
          20.78,20.78496624,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Hearing problems,15,15,999,LHB and PHW total,Tot,5,,Total
         236.87,236.8671622,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Circulation problems,16,16,999,LHB and PHW total,Tot,5,,Total
         214.49,214.4852244,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Respiratory problems,20,20,999,LHB and PHW total,Tot,5,,Total
          92.02,92.0227496,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Dental problems,21,21,999,LHB and PHW total,Tot,5,,Total
         225.99,225.9896256,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Gastro intestinal problems,22,22,999,LHB and PHW total,Tot,5,,Total
          86.49,86.49237884,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Skin problems,23,23,999,LHB and PHW total,Tot,5,,Total
         125.34,125.3393884,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Musculo skeletal system problems (exc Trauma),24,24,999,LHB and PHW total,Tot,5,,Total
         268.64,268.6376186,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Trauma & injuries (inc burns),25,25,999,LHB and PHW total,Tot,5,,Total
         145.97,145.9720007,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Genito Urinary system disorders (exc infertility),26,26,999,LHB and PHW total,Tot,5,,Total
         104.93,104.9297817,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Maternity & reproductive health,31,32,999,LHB and PHW total,Tot,5,,Total
          30.34,30.3399958,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Neonates,32,33,999,LHB and PHW total,Tot,5,,Total
          29.30,29.29594803,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Poisoning,33,34,999,LHB and PHW total,Tot,5,,Total
          98.23,98.2301881,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Healthy individuals (includes Screening),34,35,999,LHB and PHW total,Tot,5,,Total
          42.77,42.76528698,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Social care needs,35,36,999,LHB and PHW total,Tot,5,,Total
         367.04,367.0379166,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Other,36,37,999,LHB and PHW total,Tot,5,,Total
"       3,214.81",3214.80528,Expenditure per head,2,2,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Total,999,44,,LHB and PHW total,Tot,5,,Total
          66.97,66.96571107,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Infectious diseases,1,1,999,LHB and PHW total,Tot,5,,Total
         230.70,230.6973149,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Cancers & tumours,2,2,999,LHB and PHW total,Tot,5,,Total
          27.75,27.74680584,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,Blood disorders,3,3,999,LHB and PHW total,Tot,5,,Total
         128.10,128.0962973,Expenditure per head,2,2,,Aneurin Bevan University Health Board,7A6,8,W,2023-24,"Endocrine, nutritional & metabolic problems ",4,4,999,LHB and PHW total,Tot,5,,Total
