Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Organisation,Organisation_reference,Organisation_sort,Organisation_hierarchy,Year,Programme category,Programme category_reference,Programme category_sort,Programme category_hierarchy,Commissioner,Commissioner_reference,Commissioner_sort,Commissioner_hierarchy,Notes
           1.3,1.335140864,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Renal problems,28,28,26,LHB and PHW total,Tot,5,,Total
           0.0,0,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Chronic renal failure,29,29,26,LHB and PHW total,Tot,5,,Total
           0.3,0.347544497,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Sexually transmitted infections,43,30,26,LHB and PHW total,Tot,5,,Total
           1.3,1.323013337,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Other problems of the genito urinary system,30,31,26,LHB and PHW total,Tot,5,,Total
           5.6,5.588016274,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,General medical services ,37,38,36,LHB and PHW total,Tot,5,,Total
           1.2,1.245580391,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Open access ,38,39,36,LHB and PHW total,Tot,5,,Total
           2.8,2.760646322,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Continuing care ,39,40,36,LHB and PHW total,Tot,5,,Total
           1.3,1.335636727,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Other PHW functions,42,42,36,LHB and PHW total,Tot,5,,Total
           3.0,3.009287095,Per cent of total,3,3,,Swansea Bay University Health Board,7A3,5,W,2023-24,Other expenditure,44,43,36,LHB and PHW total,Tot,5,,Total
           2.0,1.994959858,Per cent of total,3,3,,Cwm Taf Morgannwg University Health Board,7A5,7,W,2023-24,Diabetes,5,5,4,LHB and PHW total,Tot,5,,Total
